Product,N,P,K,Ca,Mg,S,Fe,Cu,Mn,B,Zn,Weight in lbs,Cost / Bag,Cost / 1 lb N,SGN,Product Link,Label,Sources,Urea Nitrogen,Ammoniacal Nitrogen,Water Insoluble Nitrogen,Other water Soluble,Slowly Available From
Andersons - 13-0-3 Fertilizer with Humic DG - SGN 240 - 50 LB BAG,13.00%,0.00%,3.00%,1.60%,0.00%,4.47%,1.00%,0.00%,0.00%,0.00%,0.00%,50,$41.30 ,$6.35 ,240,https://www.reinders.com/products/asp133hu5-1/,https://pndata.andersonsinc.com/Files/Labels/ASP133HU5.1.pdf,,,,,,
Andersons - 25-0-9 Fertilizer 80%NutriSphere-N 2%FE 1%MG - SGN 150 - 50 LB BAG,25.00%,0.00%,9.00%,0.00%,1.00%,0.00%,2.00%,0.00%,1.00%,0.00%,0.00%,50,$45.84 ,$3.67 ,150,https://www.reinders.com/products/agc25um5-40/,https://pndata.andersonsinc.com/Files/Labels/AGC25NM5.40-H16%20-%2011x17.pdf,,,,,,
Andersons - 16-0-8 Fertilizer with Humic DG - SGN 150 - 50 LB BAG,16.00%,0.00%,8.00%,0.00%,0.00%,2.72%,2.00%,0.00%,0.00%,0.00%,0.00%,50,$49.56 ,$6.20 ,150,https://www.reinders.com/products/andersons-16-0-8-fertilizer-with-humic-dg-sgn-150-50-lb-bag/,https://pndata.andersonsinc.com/Files/Labels/ASP16WHUFE5.40-H16%20-%2011x17.pdf,,,,,,
EC Grow - 0-0-53 Soluble SOP Fines - 55.1 LB BAG,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,55,$52.91 ,,,https://www.reinders.com/products/ec-grow-0-0-53-soluble-sop-fines-551-lb-bag/,,SOP,,,,,
EC Grow - Ammonium Sulfate Mini - 50 LB Bag,21.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$25.52 ,$2.43 ,125-150,https://www.reinders.com/products/ec-grow-ammonium-sulfate-mini-50-lb-bag/,,AMS,,,,,
EC Grow - 46-0-0 Sprayable Prilled Urea - 50 LB BAG,46.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$32.21 ,$1.40 ,140,https://www.reinders.com/products/544-6000/,,Urea,,,,,
Koch - 46-0-0 100%UFLEXX - SGN22 - 50 LB BAG,46.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$50.60 ,$2.20 ,22,https://www.reinders.com/products/544-6075/,,UFLEXX Urea,,,,,
EC Grow - 46-0-0 UMAXX - 50 LB BAG,46.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$58.08 ,$2.53 ,,https://www.reinders.com/products/544-6085/,,UMAXX Urea,,,,,
Mears - 46-0-0 Granular Urea Nitrogen - 50 LB Bag,46.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$23.36 ,$1.02 ,220,https://www.reinders.com/products/m46-0-0g/,,Urea,,,,,
Mears - 46-0-0 Spray Grade Urea - 50 LB BAG,46.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$25.06 ,$1.09 ,22,https://www.reinders.com/products/rebf460050/,,Urea,,,,,
Mears - 20-0-0 Ammonium Sulfate - 50 LB BAG,20.00%,0.00%,0.00%,0.00%,0.00%,23.50%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$20.44 ,$2.04 ,220,https://www.reinders.com/products/m20-0-0/,,AMS,,,,,
0-0-62 Soluble (MOP) Potash - 55.1 LB BAG,0.00%,0.00%,62.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,55,$33.11 ,,,https://www.reinders.com/products/544-6020/,,MOP,,,,,
EC Grow - 0-0-50 100% SOP Mini - 50 LB BAG,0.00%,0.00%,50.00%,0.00%,0.00%,17.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$47.41 ,,90,https://www.reinders.com/products/ec-grow-0-0-50-100-sop-mini-50-lb-bag/,,SOP,,,,,
Mears - 0-0-50 Sulfate of Potash Greens Grade - SGN 85 - 50 LB BAG,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$41.04 ,,85,https://www.reinders.com/products/m0-0-50g/,,SOP,,,,,
Mears - 90% Sulfur - 50 LB BAG,0.00%,0.00%,0.00%,0.00%,0.00%,90.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$24.76 ,,290,https://www.reinders.com/products/mears-90-sulfur-50-lb-bag/,,S,,,,,
EC Grow - 90% Sulfur - 50 LB BAG,0.00%,0.00%,0.00%,0.00%,0.00%,90.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$29.15 ,,260/190,https://www.reinders.com/products/ec-grow-90-sulfur-50-lb-bag/,,S,,,,,
Mears - 0-0-21 Double SOP & Magnesium - 50 LB BAG,0.00%,0.00%,21.00%,0.00%,10.50%,21.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$21.54 ,,220,https://www.reinders.com/products/m0-0-21/,,Double SOP and Magnesium,,,,,
EC Grow - Water Soluble Manganese Sulfate - 50 LB Bag,0.00%,0.00%,0.00%,0.00%,0.00%,19.00%,0.00%,0.00%,32.00%,0.00%,0.00%,50,$125.71 ,,22,https://www.reinders.com/products/ec-grow-water-soluble-manganese-sulfate-50-lb-bag/,,Manganese Sulfate Monohydrate,,,,,
E C Grow - 46-0-0 Mini Prilled Urea - SGN150 - 50 LB Bag,46.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$42.13 ,$1.83 ,150,https://www.reinders.com/products/e-c-grow-46-0-0-mini-prilled-urea-sgn150-50-lb-bag/,,Urea,,,,,
Jay-Mar - 0-52-34 Mono-Potassium Phosphate - 50 LB Bag,0.00%,52.00%,34.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$151.43 ,,,https://www.reinders.com/products/jay-mar-0-52-34-mono-potassium-phosphate-50-lb-bag/,,MKP,,,,,
Crown Technology - Ferrous Sulfate Heptahydrate - 50 LB BAG,7.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.00%,0.00%,0.00%,0.00%,0.00%,50,$16.49 ,$4.71 ,,https://www.reinders.com/products/450-1399/,,Iron Sulfate Heptahydrate,,,,,
American Plant Food Corporation - SoluGreen (21-0-0) Fertilizer - 50 LB BAG,21.00%,0.00%,0.00%,0.00%,0.00%,24.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$22.00 ,$2.10 ,100,https://www.reinders.com/products/21-0-0-solugreen/,,,,,,,
MK Minerals - Gypsum Fairway Grade - 50 LB Bag,0.00%,0.00%,0.00%,20.00%,0.00%,14.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$10.54 ,,274,https://www.reinders.com/products/4241/,,Caclium Sulfate Dihydrate 86%,,,,,
BRANDT Converge 18-3-6 50% Urea Trizone +cMicros 2.5gal Liquid,18.00%,3.00%,6.00%,,,,,,,,,320,$58.20 ,$1.01 ,,SiteOne,,,,,,,
ECO Natural Liquid Fertilizer 16-4-8 NPK Gallon,16.00%,4.00%,8.00%,,,,,,,,,128,$29.00 ,$1.42 ,,Amazon,,,,,,,
Simple Lawn Solutions Advanced 16-4-8 Balanced NPK liquid,16.00%,4.00%,8.00%,,,,,,,,,320,$129.00 ,$2.52 ,,Amazon,,,,,,,
"Vigoro 15,000 sq. ft. Lawn Fertilizer",29.00%,0.00%,4.00%,,,,,,,,,44,$33.00 ,$2.59 ,,Home Depot,,,,,,,
"Urban Farm Fertilizers Liquid Lawn Fertilizer, 1 gallon, 10-1-2",10.00%,1.00%,2.00%,,,,,,,,,128,$39.99 ,$3.12 ,,Amazon,,,,,,,
Lilly Miller Ultragreen 18 lbs. Phosphorus Free Lawn Food,28.00%,0.00%,3.00%,,,,,,,,,18,$17.00 ,$3.37 ,,Home Depot,,,,,,,
Scotts Step-3 32-0-4 Lawn Food,32.00%,0.00%,4.00%,,,,,,,,,38,$45.00 ,$3.75 ,,Ace Hardware,,,,,,,
Scotts Step-4 32-0-12 Lawn Fertilizer For Turfgrass,32.00%,0.00%,12.00%,,,,,,,,,40,$48.00 ,$3.75 ,,Ace Hardware,,,,,,,
JRK Turf Special Lawn Fertilizer,24.00%,0.00%,4.00%,,,,,,,,,50,$46.00 ,$3.83 ,,Gertens,,,,,,,
Pennington All Purpose Nitrogen Fertilizer 34-0-0,34.00%,0.00%,0.00%,,,,,,,,,40,$53.50 ,$3.93 ,,Do My Own,,,,,,,
GreenView Fairway Formula Fall Fertilizer,30.00%,0.00%,12.00%,,,,,,,,,50,$60.00 ,$4.00 ,,Home Depot,,,,,,,
Purely Organic 32 oz. Liquid Lawn Food,13.00%,0.00%,4.00%,,,,,,,,,32,$17.00 ,$4.09 ,,Home Depot,,,,,,,
GreenView Lawn Food,22.00%,0.00%,4.00%,,,,,,,,,48,$43.50 ,$4.12 ,,Home Depot,,,,,,,
GreenView Fall Lawn Food,22.00%,0.00%,10.00%,,,,,,,,,48,$44.00 ,$4.17 ,,Home Depot,,,,,,,
Nutrients Plus 16-2-3 45% CRN BIO AS SOP 1Fe Screamin Green,16.00%,2.00%,3.00%,,,,,,,,,50,$33.49 ,$4.19 ,,SiteOne,,,,,,,
Fertilome Weed Out Plus Lawn Fertilizer,25.00%,0.00%,4.00%,,,,,,,,,20,$22.00 ,$4.40 ,,Gertens,,,,,,,
Scotts Turf Builder Winterguard 32-0-10 Winterguard Lawn Food,32.00%,0.00%,10.00%,,,,,,,,,13,$18.00 ,$4.50 ,,Ace Hardware,,,,,,,
JRK Crabgrass Preventer and Lawn Fertilizer,22.00%,0.00%,6.00%,,,,,,,,,50,$50.00 ,$4.55 ,,Gertens,,,,,,,
JRK Weed and Feed,22.00%,0.00%,4.00%,,,,,,,,,50,$50.00 ,$4.55 ,,Gertens,,,,,,,
JRK Winterizer Lawn Fertilizer,20.00%,0.00%,12.00%,,,,,,,,,50,$46.00 ,$4.60 ,,Gertens,,,,,,,
Scotts Green Max 27-0-2 Lawn Food,27.00%,0.00%,2.00%,,,,,,,,,33,$42.00 ,$4.71 ,,Ace Hardware,,,,,,,
Arizona's Best Four Season's 20 lb. Lawn Feed Fertilizer,21.00%,7.00%,14.00%,,,,,,,,,20,$20.00 ,$4.76 ,,Home Depot,,,,,,,
Scotts Turf Builder Summerguard 20-0-8 Lawn Fertilizer,28.00%,0.00%,8.00%,,,,,,,,,18,$25.00 ,$4.96 ,,Ace Hardware,,,,,,,
ROOTS TurfVigor 9-3-6 Microbial Fertilizer cMicros 2.5 gal. Liquid,9.00%,3.00%,6.00%,,,,,,,,,320,$144.73 ,$5.03 ,,SiteOne,,,,,,,
Medina 32 oz. HastaGro 12-4-8 Liquid Lawn Food Plus,12.00%,4.00%,8.00%,,,,,,,,,32,$20.00 ,$5.21 ,,Home Depot,,,,,,,
Pennington 22-0-11 50% Uflexx 3% Fe Turf Fertilizer,22.00%,0.00%,11.00%,,,,,,,,,50,$58.00 ,$5.27 ,,Do My Own,,,,,,,
GreenView Fairway Formula Lawn Fertilizer,27.00%,0.00%,5.00%,,,,,,,,,33,$48.00 ,$5.39 ,,Home Depot,,,,,,,
CARBON-X improved with N-Ext RGS 24-0-4,24.00%,0.00%,4.00%,,,,,,,,,50,$65.00 ,$5.42 ,,LCN/GCI,,,,,,,
Ferti-Lome Lawn Food Plus Iron 24-0-4,24.00%,0.00%,4.00%,,,,,,,,,20,$26.00 ,$5.42 ,,Do My Own,,,,,,,
Milorganite,6.00%,4.00%,0.00%,,,,,,,,,36,$12.00 ,$5.56 ,,Gertens,,,,,,,
Scoots Turf Builder Summer Lawn Food Everydrop Technology,34.00%,0.00%,0.00%,,,,,,,,,28,$60.00 ,$6.30 ,,Home Depot,,,,,,,
Andersons Fertilizer 18-24-12 48% NS-54,18.00%,24.00%,12.00%,,,,,,,,,50,$60.50 ,$6.72 ,,Do My Own,,,,,,,
Fertilome Crabgrass Preventer Plus Lawn Food,20.00%,0.00%,3.00%,,,,,,,,,16,$22.00 ,$6.88 ,,Gertens,,,,,,,
Pennington 18-24-6 .25 Uflexx Turf Fertilizer,18.00%,24.00%,6.00%,,,,,,,,,50,$65.00 ,$7.22 ,,Do My Own,,,,,,,
Hi-Yield Lawn Fertilizer 15-0-10,15.00%,0.00%,10.00%,,,,,,,,,20,$22.00 ,$7.33 ,,Do My Own,,,,,,,
Purely Organic 25 lb. Lawn Food Fertilizer,10.00%,0.00%,2.00%,,,,,,,,,25,$18.50 ,$7.40 ,,Home Depot,,,,,,,
Scotts Lawn Pro Lawn Fertilizer,26.00%,0.00%,3.00%,,,,,,,,,15,$28.50 ,$7.56 ,,Do My Own,,,,,,,
Scotts Turf Builder Starter Food For New Grass,24.00%,25.00%,4.00%,,,,,,,,,42,$78.40 ,$7.78 ,,Do My Own,,,,,,,
Max Lawn Starter Fertilizer,12.00%,24.00%,6.00%,,,,,,,,,20,$20.00 ,$8.33 ,,Gertens,,,,,,,
GreenEdge 6-2-0 Slow Release Organic Fertilizer,6.00%,2.00%,0.00%,,,,,,,,,40,$22.00 ,$9.17 ,,Home Depot,,,,,,,
Ferti-Lome Classic Lawn Food 16-0-8 with Slow-Release N,16.00%,0.00%,8.00%,,,,,,,,,20,$30.00 ,$9.38 ,,Do My Own,,,,,,,
Ferti-Lome Crabgrass Preventer Plus Lawn Food,20.00%,0.00%,3.00%,,,,,,,,,16,$31.00 ,$9.69 ,,Do My Own,,,,,,,
Fertilome Winterizer,10.00%,0.00%,14.00%,,,,,,,,,20,$20.00 ,$10.00 ,,Gertens,,,,,,,
Turf Nurture 25 lbs. Natural Base Fertilizer,15.00%,0.00%,7.00%,,,,,,,,,25,$38.00 ,$10.13 ,,Home Depot,,,,,,,
Ferti-Lome Centipede Lawn Fertilizer 15-0-15,15.00%,0.00%,15.00%,,,,,,,,,20,$30.50 ,$10.17 ,,Do My Own,,,,,,,
GreenView Starter Fertilizer,10.00%,18.00%,10.00%,,,,,,,,,48,$50.00 ,$10.42 ,,Home Depot,,,,,,,
Pennington 14-14-14 .61 Nitroform SOP TR Pkg Turf Fertilizer,14.00%,14.00%,14.00%,,,,,,,,,50,$73.60 ,$10.51 ,,Do My Own,,,,,,,
Espoma Lawn Food 18-0-3,18.00%,0.00%,3.00%,,,,,,,,,20,$39.50 ,$10.97 ,,Do My Own,,,,,,,
Sustane Natural Spring Fertilizer (Corn),9.00%,0.00%,0.00%,,,,,,,,,30,$30.00 ,$11.11 ,,Gertens,,,,,,,
Sustane Early Summer Fertilizer,9.00%,0.00%,2.00%,,,,,,,,,30,$30.00 ,$11.11 ,,Gertens,,,,,,,
Ringer Lawn Restore,10.00%,0.00%,6.00%,,,,,,,,,25,$28.00 ,$11.20 ,,Ace Hardware,,,,,,,
Dr Earth Super Natural Lawn Terilizer,9.00%,0.00%,5.00%,,,,,,,,,18,$20.00 ,$12.35 ,,??,,,,,,,
Sustane Fall Fertilizer,8.00%,0.00%,4.00%,,,,,,,,,30,$30.00 ,$12.50 ,,Gertens,,,,,,,
Espoma All Season Lawn Food,9.00%,0.00%,0.00%,,,,,,,,,30,$40.00 ,$14.81 ,,Bachmans,,,,,,,
Vigoro 15 lb. Organic Lawn and Garden Food,7.00%,0.00%,3.00%,,,,,,,,,15,$17.00 ,$16.19 ,,Home Depot,,,,,,,
Espoma Spring Lawn Booster,8.00%,0.00%,0.00%,,,,,,,,,30,$40.00 ,$16.67 ,,Bachmans,,,,,,,
Espoma Summer Revitalizer,8.00%,0.00%,0.00%,,,,,,,,,30,$40.00 ,$16.67 ,,Bachmans,,,,,,,
Espoma Fall Winterizer,8.00%,0.00%,5.00%,,,,,,,,,30,$41.00 ,$17.08 ,,Gertens,,,,,,,
Arizona's Best Starter Fertilizer 6-20-20,6.00%,20.00%,20.00%,,,,,,,,,15,$16.00 ,$17.78 ,,Home Depot,,,,,,,
Sustane 8-2-4E All Natural or 8-2-4 Medium (Sls181) Cb,8.00%,2.00%,4.00%,,,,,,,,,50,$72.45 ,$18.11 ,,SiteOne,,,,,,,
The Andersons 7-1-2 Innova Organic Fertilizer 40lb,7.00%,1.00%,2.00%,,,,,,,,,40,$51.00 ,$18.21 ,,Amazon,,,,,,,
DR. EARTH 40 lb. Super Natural Lawn Fertilizer,9.00%,3.00%,5.00%,,,,,,,,,40,$66.00 ,$18.33 ,,Home Depot,,,,,,,
Espoma Weed Preventer,9.00%,0.00%,0.00%,,,,,,,,,25,$45.00 ,$20.00 ,,Bachmans,,,,,,,
Sustane Late Summer Fertilizer,4.00%,6.00%,4.00%,,,,,,,,,30,$30.00 ,$25.00 ,,Gertens,,,,,,,
Kellogg Garden Organics Organics Plus Lawn Food,4.00%,4.00%,4.00%,,,,,,,,,20,$20.00 ,$25.00 ,,Home Depot,,,,,,,
Fertilome New Lawn Starter Fertilizer,9.00%,13.00%,7.00%,,,,,,,,,4,$12.00 ,$33.33 ,,Gertens,,,,,,,
Monterey Dr. Iron 21 lb. Organic Lawn Pellets,0.00%,0.00%,0.00%,,,,,,,,,21,$33.50 ,,,Home Depot,,,,,,,
AquaSmart 30 lb. Lawn Saver,0.00%,0.00%,0.00%,,,,,,,,,30,$25.15 ,,,Home Depot,,,,,,,
"Scotts EveryDrop 10 lb. 5,000 sq. ft. Wetting Agent",0.00%,0.00%,0.00%,,,,,,,,,10,$13.15 ,,,Home Depot,,,,,,,
The Andersons Humic DG Granular Soil Conditioner (Humic Acid),0.00%,0.00%,0.00%,,,,,,,,,40,$70.00 ,,,Amazon,,,,,,,
"Southern Ag Chelated Liquid Iron, 128oz - 1 Gallon",0.00%,0.00%,0.00%,,,,,,,,,128,$29.00 ,,,Amazon,,,,,,,
GreenView 10-10-10,10.00%,10.00%,10.00%,0.00%,0.00%,5.00%,1.00%,0.00%,0.00%,0.00%,0.00%,33,$33.99 ,$10.30 ,,https://www.acehardware.com/departments/lawn-and-garden/gardening/flower-and-plant-fertilizer/75284,,"Ammonium Pohsphate, Ammonium Sulfate, Muriate of Potash, Ferric Oxide, Ferrous Sulfate",,10,,,
Twin City Seed 12-12-12,12.00%,12.00%,12.00%,,,,,,,,,50,$35.00 ,$5.83 ,,Home Depot,,,,,,,
Bandini50 lb. Pro Choice 15-15-15 Fertilizer,15.00%,15.00%,15.00%,,,,,,,,,50,$45.97 ,$6.13 ,,Home Depot,,,,,,,
Citric Acid,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10,$37.99 ,,,https://www.amazon.com/dp/B00GNBHPAS?ref_=cm_sw_r_apin_dp_E63658RYZ6BWF5V01ZDX&th=1,,,,,,,
Armada 50 WDG,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,$110.00 ,,,https://www.ebay.com/itm/334280677142?hash=item4dd4ae5716:g:fWoAAOSwQ8dguRBs,,,,,,,
Scotts GrubEx Season Long Grub Killer,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,29,$56.99 ,,,https://www.amazon.com/gp/product/B0050DV4ZW/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&th=1,https://www.scotts.com/sites/g/files/oydgjc106/files/asset_images/products/CFLS/SC-GrubExSeasonLongGrubKiller-2015-CFL.pdf,,,,,,
Ammonium Sulfate - Coop,21.00%,0.00%,0.00%,0.00%,0.00%,24.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$31.00 ,$2.95 ,,,,,,,,,
T-Nex PGR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,128,$135.00 ,,,,,,,,,,
GreenORR SP,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.00%,0.00%,0.00%,0.00%,0.00%,2,$35.00 ,$350.00 ,,https://ryanknorrlawncare.com/product/greenorr-sp/,,"Soy Protein Hydrolysate, Iron Biochelate",,,,,
Lawn Supply AMS,21.00%,0.00%,0.00%,0.00%,0.00%,22.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20,$39.99 ,$9.52 ,,https://ryanknorrlawncare.com/product/ammonium-sulfate/,,,,,,,
Lawn Supply EquilizOrr,18.00%,18.00%,18.00%,0.00%,0.00%,0.00%,0.00%,0.50%,0.1,0.03,0.1,10,$39.99 ,$22.22 ,,https://ryanknorrlawncare.com/product/equalizorr/,,,,,,,
Yard Mastery Starter Fertilizer,12.00%,12.00%,12.00%,0.00%,0.00%,0.00%,3.00%,0.50%,0.06,0.06,0.05,45,$64.99 ,$12.04 ,,,,,,,,,
Menards Starter Fertilizer,15.00%,23.00%,10.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,17,$15.09 ,$5.92 ,,,,,,,,,
Protene Fert + Iron,6.00%,0.00%,0.00%,0.00%,2.00%,5.00%,14.00%,0.00%,0.50%,0.00%,0.10%,40,$64.95 ,$27.06 ,,,,,,,,,
GreenORR G,17.00%,0.00%,1.00%,0.00%,0.00%,0.00%,4.00%,0.00%,0.00%,0.00%,0.00%,40,$78.99 ,$11.62 ,75,,,,,,,,
Elemental Sulfur,0.00%,0.00%,0.00%,0.00%,0.00%,90.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$35.00 ,,,,,,,,,,
Prodiamine,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,$26.49 ,,,,,,,,,,
RGS,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,128,$36.99 ,,,,,,,,,,
Air8,0.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,128,$34.99 ,,,,,,,,,,
Humic12,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,128,$34.99 ,,,,,,,,,,
Azoxystrobin,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16,$120.00 ,,,,,,,,,,
Propiconazole,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,32,$46.30 ,,,,,,,,,,
Bifen IT,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,32,$41.50 ,,,,,,,,,,
Hydretain Liquid,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,128,$69.99 ,,,,,,,,,,
Yard Mastery SOP,0.00%,0.00%,48.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24,$64.99 ,,,,,,,,,,
Sunshine Harvest SOP,0.00%,0.00%,53.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40,$49.17 ,,,https://www.homedepot.com/p/40-lbs-Box-SOP-Fertilier-GSOP-40/316885116,,,,,,,
Sunshine Harvest DAP,18.00%,26.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40,$68.98 ,$9.58 ,,https://www.homedepot.com/p/40-lbs-Box-DAP-Fertilizer-GDAP-40/316885118,,,,,,,
Greenview 12-12-12,12.00%,12.00%,12.00%,0.00%,0.00%,5.00%,1.00%,0.00%,0.00%,0.00%,0.00%,33,$33.99 ,$8.58 ,,,,,,,,,
N-Ext GreeneEffect,7.00%,0.00%,0.00%,0.00%,0.00%,3.00%,6.00%,0.00%,0.00%,0.00%,0.00%,256,$69.99 ,$3.91 ,,,,,,,,,
Feature 6-0-0,6.00%,0.00%,0.00%,0.00%,1.00%,8.00%,10.00%,0.00%,2.50%,0.00%,0.00%,3,$22.50 ,$125.00 ,,,,,,,,,
Scotts Starter Fert with Mesotrione,21.00%,22.00%,4.00%,0.00%,0.00%,1.00%,0.50%,0.00%,0.00%,0.00%,0.00%,17,$49.97 ,$13.83 ,,,,,,,,,
Scotts DiseaseEx,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10,$23.97 ,,,,,,,,,,